year,Angola Count_Person,Benin Count_Person,Burkina Faso Count_Person,Botswana Count_Person,Central African Republic Count_Person,Ivory Coast Count_Person,Cameroon Count_Person,Republic of the Congo Count_Person,Cape Verde Count_Person,Djibouti Count_Person,Algeria Count_Person,Egypt Count_Person,Ethiopia Count_Person,Gabon Count_Person,Ghana Count_Person,Guinea Count_Person,Gambia Count_Person,Guinea-Bissau Count_Person,Kenya Count_Person,Liberia Count_Person,Lesotho Count_Person,Morocco Count_Person,Madagascar Count_Person,Mali Count_Person,Mozambique Count_Person,Mauritania Count_Person,Mauritius Count_Person,Malawi Count_Person,Namibia Count_Person,Niger Count_Person,Nigeria Count_Person,Rwanda Count_Person,Sudan Count_Person,Senegal Count_Person,Sierra Leone Count_Person,São Tomé and Príncipe Count_Person,Eswatini Count_Person,Chad Count_Person,Togo Count_Person,Tunisia Count_Person,Tanzania Count_Person,Uganda Count_Person,South Africa Count_Person,Zambia Count_Person,Zimbabwe Count_Person
1960,5454933,2431622,4829288,502745,1501668,3503553,5176918,1018253,201765,83636,11057863,26632894,22151278,500928,6635230,3494162,365047,616136,8120080,1118657,837270,12328532,5099373,5263733,7184869,850384,659351,3659984,634142,3388764,45138458,2935582,7544491,3206749,2317636,64302,336583,3001609,1580513,4178236,10052152,6767095,17099840,3070776,3776681
1961,5531472,2465867,4894580,512685,1526066,3631553,5285017,1043116,205327,88498,11336339,27366237,22671191,505799,6848295,3552065,372445,622761,8377696,1142302,852890,12710581,5223568,5322266,7342111,875581,680757,3747753,649279,3486326,46063563,2998325,7769482,3295278,2352363,64602,343345,3060368,1597526,4238142,10346697,6983818,17524533,3164329,3905034
1962,5608539,2502896,4960326,523778,1551910,3770766,5398729,1069238,210142,94204,11619828,28112256,23221389,511287,7071971,3611429,379894,628883,8647011,1166648,869136,13094888,5352503,5381368,7507303,901686,700349,3839043,665115,3588228,47029822,3052936,8004121,3386806,2388769,64479,350156,3121236,1612755,4305481,10651962,7215796,17965725,3260650,4039201
1963,5679458,2542859,5027821,535685,1579370,3918628,5518104,1096638,216096,100628,11912803,28871383,23798430,517580,7300116,3672556,387641,635011,8928511,1191802,886057,13478423,5486319,5441613,7679458,928734,718861,3933908,681637,3693980,48032934,3105419,8248812,3481654,2426857,64231,357292,3183572,1631764,4380068,10968195,7461634,18423161,3360104,4178726
1964,5735044,2585965,5098890,547873,1608616,4071411,5643036,1125352,222948,107583,12221675,29644875,24397022,524895,7524472,3735916,396011,641812,9222692,1217901,903763,13857649,5625164,5503752,7857104,956799,736381,4032371,698796,3802803,49066760,3164263,8503994,3580239,2466667,64277,365122,3246523,1662073,4461114,11295681,7719104,18896307,3463213,4322861
1965,5770570,2632356,5174870,559994,1639706,4226844,5773543,1155392,230418,114963,12550885,30433022,25013626,533361,7739473,3801705,405259,649790,9530173,1245102,922306,14230163,5769218,5568484,8039215,985910,753000,4134460,716584,3914117,50127921,3235531,8770097,3682876,2508219,64892,373919,3309586,1708630,4547941,11634832,7986066,19384841,3570464,4471177
1966,5781214,2682159,5256363,571964,1673019,4383728,5909882,1186785,238655,122866,12902627,31237600,25641044,543112,7941412,3870203,415478,658994,9851444,1273464,941794,14595350,5918595,5635859,8225921,1016100,768813,4240429,734867,4027963,51217973,3321679,9047798,3789383,2551578,66183,383826,3372189,1774029,4641000,11985440,8263439,19888250,3681955,4623351
1967,5774243,2735307,5343019,584092,1708302,4544164,6052420,1219541,247527,131397,13275026,32056510,26280132,554059,8132803,3941053,426629,669237,10187478,1303035,962273,14954031,6073526,5706199,8417702,1047344,783917,4350452,753688,4144592,52342233,3420895,9337657,3899644,2596805,68047,394757,3434825,1855442,4740511,12348189,8550443,20406864,3797873,4779827
1968,5771652,2791590,5434041,596947,1744194,4713135,6201413,1253760,256176,140462,13663583,32881848,26944390,565766,8321770,4013055,438603,680432,10539894,1333978,983685,15307273,6234465,5780835,8614447,1079580,798413,4464423,773422,4263927,53506196,3529843,9639840,4014103,2644020,70257,406506,3499362,1945780,4845219,12725522,8841153,20942145,3918872,4941906
1969,5803254,2850661,5528174,611300,1778861,4897472,6357092,1289522,263453,149887,14061722,33703139,27652709,577646,8520015,4084600,451228,692407,10910675,1366502,1005909,15656843,6401921,5861412,8816057,1112745,812405,4582198,794588,4385927,54717039,3643237,9954410,4133322,2693348,72507,418747,3568398,2034907,4953390,13120580,9127857,21496075,4045740,5111337
