year,rank,title,author,rating,no of reviews,price,link,type
2009,1,The Lost Symbol,Dan Brown,4.3,12157,$16.00,https://www.amazon.com/Lost-Symbol-Dan-Brown/dp/0385504225/ref=zg_bsar_books_1/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,2,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,22312,$8.25,https://www.amazon.com/Shack-Where-Tragedy-Confronts-Eternity/dp/0964729237/ref=zg_bsar_books_2/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,4773,$17.90,https://www.amazon.com/Liberty-Tyranny-Conservative-Mark-Levin/dp/1416562850/ref=zg_bsar_books_3/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.7,14743,$18.02,https://www.amazon.com/Breaking-Dawn-Twilight-Saga-Book/dp/031606792X/ref=zg_bsar_books_4/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,5,Going Rogue: An American Life,Sarah Palin,4.6,1638,$9.99,https://www.amazon.com/Going-Rogue-American-Sarah-Palin/dp/0061939897/ref=zg_bsar_books_5/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,6,StrengthsFinder 2.0,Tom Rath,4.1,6331,$16.88,https://www.amazon.com/StrengthsFinder-2-0-Tom-Rath/dp/159562015X/ref=zg_bsar_books_6/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,7,The Help,Kathryn Stockett,4.8,16606,$12.49,https://www.amazon.com/Help-Kathryn-Stockett/dp/0399155341/ref=zg_bsar_books_7/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,8,New Moon (The Twilight Saga),Stephenie Meyer,4.7,9813,$11.67,https://www.amazon.com/Moon-Twilight-Saga-Stephenie-Meyer/dp/0316024961/ref=zg_bsar_books_8/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,9,The Twilight Saga Collection,Stephenie Meyer,4.7,5270,95 offers from $13.69,https://www.amazon.com/Twilight-Saga-Collection-Stephenie-Meyer/dp/0316031844/ref=zg_bsar_books_9/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,10,Outliers: The Story of Success,Malcolm Gladwell,4.7,18332,$23.01,https://www.amazon.com/Outliers-Story-Success-Malcolm-Gladwell/dp/0316017922/ref=zg_bsar_books_10/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,11,Eclipse (Twilight),Stephenie Meyer,4.7,10482,$14.14,https://www.amazon.com/Eclipse-Twilight-Stephenie-Meyer/dp/0316160202/ref=zg_bsar_books_11/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,12,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,18644,$10.16,https://www.amazon.com/Twilight-Saga-Book-1/dp/0316015849/ref=zg_bsar_books_12/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1455,$9.29,https://www.amazon.com/Glenn-Becks-Common-Sense-Control/dp/1439168571/ref=zg_bsar_books_13/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3449,$13.26,https://www.amazon.com/Three-Cups-Tea-Mission-Promote/dp/0143038257/ref=zg_bsar_books_14/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,15,The Love Dare,Stephen Kendrick,4.8,2880,$13.89,https://www.amazon.com/Love-Dare-Stephen-Kendrick/dp/0805448853/ref=zg_bsar_books_15/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,6519,$20.20,https://www.amazon.com/Act-Like-Lady-Think-Relationships/dp/0061728977/ref=zg_bsar_books_16/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.7,5943,$9.59,https://www.amazon.com/Dog-Days-Diary-Wimpy-Book/dp/0810983915/ref=zg_bsar_books_17/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,18,Under the Dome: A Novel,Stephen King,4.4,8293,$17.69,https://www.amazon.com/Under-Dome-Novel-Stephen-King/dp/1439148503/ref=zg_bsar_books_18/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,13217,$10.10,https://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385341008/ref=zg_bsar_books_19/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.4,882,$11.40,https://www.amazon.com/This-That-Supermarket-Survival-Guide/dp/1605298387/ref=zg_bsar_books_20/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,21,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,904,$11.02,https://www.amazon.com/Arguing-Idiots-Small-Minds-Government/dp/1416595015/ref=zg_bsar_books_21/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,4.8,5650,$28.72,https://www.amazon.com/Mastering-Art-French-Cooking-Vol/dp/0375413405/ref=zg_bsar_books_22/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,23,Sookie Stackhouse,Charlaine Harris,4.7,1051,$79.00,https://www.amazon.com/Sookie-Stackhouse-Doornail-Definitely-Together/dp/0441017770/ref=zg_bsar_books_23/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,24,The Time Traveler's Wife,Audrey Niffenegger,4.4,5037,$12.99,https://www.amazon.com/Time-Travelers-Wife-Audrey-Niffenegger/dp/015602943X/ref=zg_bsar_books_24/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,11862,$22.00,https://www.amazon.com/Publication-Manual-American-Psychological-Association/dp/1433805618/ref=zg_bsar_books_25/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,26,True Compass: A Memoir,Edward M. Kennedy,4.5,499,$10.98,https://www.amazon.com/True-Compass-Edward-M-Kennedy/dp/0446539252/ref=zg_bsar_books_26/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
2009,27,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.5,13314,$9.40,https://www.amazon.com/Girl-Dragon-Tattoo-Millennium/dp/0307454541/ref=zg_bsar_books_27/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,fiction
2009,28,The 5000 Year Leap,W. Cleon Skousen,4.8,2331,$10.49,https://www.amazon.com/5000-Year-Leap-Cleon-Skousen/dp/0880801484/ref=zg_bsar_books_28/136-8460134-9127643?_encoding=UTF8&psc=1&refRID=BMT4TRV7KK0TYZ5XV2ZK,non-fiction
